id,article_id,article_title,section_path,heading,level,question,base_pca1,base_pca2,instruct_pca1,instruct_pca2,base_total_influence,instruct_total_influence,base_top_k_count,instruct_top_k_count,influence_diff,norm_base_influence,norm_instruct_influence,bert_umap1,bert_umap2,base_hub_score,instruct_hub_score
10,251,Knowledge,Value,Value,2,Why is knowledge valuable?,6.657969,8.476605,11.754747,3.148085,1.248432,1.083914,5,2,-0.164518,0.012438,0.01471,8.530054,3.675349,-5,-8
11,251,Knowledge,Science,Science,2,How does science produce knowledge?,8.336062,8.884074,11.088698,2.814881,9.428601,4.430614,43,18,-4.997987,0.093935,0.06013,7.838934,5.2223516,33,8
12,251,Knowledge,History,History,2,How has our understanding of knowledge evolved throughout history?,6.740596,9.00538,10.437397,2.80589,1.599846,1.559945,8,7,-0.039901,0.015939,0.021171,8.450306,2.101804,-2,-3
13,251,Knowledge,In various disciplines > Religion,Religion,3,How do different religions view knowledge?,8.542842,9.113718,11.046569,2.892369,3.697202,1.149734,15,2,-2.547467,0.036835,0.015604,8.40855,3.6651533,5,-8
14,251,Knowledge,In various disciplines > Anthropology,Anthropology,3,How do anthropologists study knowledge across cultures?,7.272069,8.914488,10.98003,3.133592,1.408185,1.524702,5,4,0.116517,0.014029,0.020692,8.591941,3.525986,-5,-6
15,251,Knowledge,In various disciplines > Sociology,Sociology,3,How is knowledge shaped by society?,8.39177,8.382257,12.178215,2.411625,2.486247,9.174606,11,52,6.688359,0.02477,0.124513,8.593736,3.479626,1,42
16,251,Knowledge,In various disciplines > Others,Others,3,What do other academic fields say about knowledge?,7.07278,9.285294,11.962829,2.97393,1.166337,0.973471,3,1,-0.192866,0.01162,0.013211,8.580553,3.7906075,-7,-9
17,280,Manufacturing,Introduction,Introduction,0,What is manufacturing?,0.915423,7.461641,5.144177,1.909711,0.0,0.0,0,0,0.0,0.0,0.0,6.643915,-0.9587182,-10,-10
18,280,Manufacturing,Etymology,Etymology,2,Where does the word manufacturing come from?,8.533495,7.063643,12.141872,1.181004,1.181841,1.160907,4,3,-0.020934,0.011774,0.015755,6.7300014,-0.7615143,-6,-7
19,280,Manufacturing,History and development > Prehistory and ancient history,Prehistory and ancient history,3,How did early humans make tools and goods?,5.72594,5.212291,6.785247,-0.986066,0.979059,0.0,1,0,-0.979059,0.009754,0.0,7.2527575,1.786624,-9,-10
20,280,Manufacturing,History and development > Medieval and early modern,Medieval and early modern,3,How did people make things during the Middle Ages?,6.865617,5.522129,4.266107,1.472582,0.0,1.050496,0,2,1.050496,0.0,0.014257,7.974899,1.8124382,-10,-8
21,280,Manufacturing,History and development > First and Second Industrial Revolutions,First and Second Industrial Revolutions,3,How did factories change during the Industrial Revolution?,-0.645776,6.675067,4.12371,1.564199,0.0,0.0,0,0,0.0,0.0,0.0,7.668039,0.12467603,-10,-10
22,280,Manufacturing,History and development > Modern manufacturing,Modern manufacturing,3,How has manufacturing changed in recent decades?,7.901385,7.29612,11.329339,2.286537,5.079155,1.3477,33,6,-3.731455,0.050603,0.01829,7.413382,1.9879696,23,-4
23,280,Manufacturing,Machinery relocation and logistics,Machinery relocation and logistics,2,How do companies move heavy factory equipment?,6.955248,9.313552,9.652849,2.346215,0.976863,1.176068,1,4,0.199205,0.009732,0.015961,5.0112414,-0.77348226,-9,-6
24,280,Manufacturing,Manufacturing strategy,Manufacturing strategy,2,How do manufacturers decide what production methods to use?,8.706403,7.52733,12.485643,3.440864,1.859148,1.944985,12,11,0.085837,0.018522,0.026396,6.675665,-1.1442591,2,1
25,280,Manufacturing,Industrial policy > Economics of manufacturing,Economics of manufacturing,3,How does manufacturing affect the economy?,-0.012407,6.514433,3.926713,1.603424,0.0,0.0,0,0,0.0,0.0,0.0,6.110904,-0.807261,-10,-10
26,280,Manufacturing,Industrial policy > Finance,Finance,3,How do manufacturing companies get funding?,8.871075,7.294416,11.979208,3.875927,1.955004,1.841729,12,10,-0.113275,0.019477,0.024995,6.7279863,-1.1042534,2,0
27,280,Manufacturing,Industrial policy > Safety,Safety,3,What are the main safety concerns in factories?,1.973245,8.884943,5.912776,0.432095,2.451393,1.027856,19,2,-1.423537,0.024423,0.013949,5.9701467,-0.72905666,9,-8
28,280,Manufacturing,Industrial policy > Manufacturing and investment,Manufacturing and investment,3,Why do investors put money into manufacturing?,0.2811,7.078235,3.676413,1.235235,2.889128,1.053592,15,2,-1.835536,0.028784,0.014299,6.227431,-0.7351519,5,-8
29,280,Manufacturing,Major manufacturing nations,Major manufacturing nations,2,Which countries produce the most manufactured goods?,7.762568,8.200905,11.928852,2.095904,1.474481,1.182983,6,4,-0.291497,0.01469,0.016055,5.3047194,-0.029502895,-4,-6
30,297,Mind,Introduction,Introduction,0,What is the mind?,8.387333,9.156039,10.612424,2.795728,0.551288,0.432907,2,3,-0.118381,0.005492,0.005875,8.517142,4.3366165,-8,-7
31,297,Mind,Definition,Definition,2,How do scientists and philosophers define the mind?,8.444064,9.142344,11.022352,1.746487,5.805568,3.345266,21,15,-2.460302,0.05784,0.0454,8.5917015,4.3695025,11,5
32,297,Mind,Forms,Forms,2,What are the different forms or types of mind?,8.44996,9.068473,10.614003,2.522766,6.643391,1.125092,27,3,-5.518298,0.066187,0.015269,8.64699,4.388531,17,-7
33,297,Mind,Forms > Conscious and unconscious,Conscious and unconscious,3,What's the difference between conscious and unconscious mental processes?,7.97207,9.035222,10.969171,3.045111,1.417418,6.057094,5,28,4.639677,0.014121,0.082204,8.677358,4.490997,-5,18
34,297,Mind,Forms > Other distinctions,Other distinctions,3,How else can mental states and processes be categorized?,5.668218,6.77684,11.723989,3.290546,1.026053,0.979921,2,1,-0.046132,0.010222,0.013299,8.7122,4.30666,-8,-9
35,297,Mind,Forms > Faculties and modules,Faculties and modules,3,What mental faculties and cognitive modules make up the mind?,8.618787,8.759173,11.039337,3.196714,2.701512,2.880102,12,11,0.17859,0.026915,0.039087,8.592033,4.274525,2,1
36,297,Mind,Theories of the nature of mind,Theories of the nature of mind,2,What are the major theories about the nature of mind?,8.273864,8.684026,12.09325,2.127994,1.39814,1.099405,4,2,-0.298734,0.013929,0.014921,8.567932,4.200535,-6,-8
37,297,Mind,Relation to matter > Mind–body problem,Mind–body problem,3,How does the mind relate to the physical body?,8.527823,8.664238,11.948132,2.898152,3.754835,5.903701,13,23,2.148866,0.037409,0.080122,8.499882,4.2778254,3,13
38,297,Mind,Relation to matter > Brain areas and processes,Brain areas and processes,3,Which brain areas are responsible for different mental functions?,7.003785,8.903226,10.370101,2.624613,1.241107,0.968005,3,1,-0.273102,0.012365,0.013137,8.771887,4.4066987,-7,-9
39,297,Mind,Development > Evolution,Evolution,3,How did the mind evolve over time?,8.135174,8.198424,10.984948,2.788957,3.300178,2.369235,16,13,-0.930943,0.032879,0.032154,8.744199,4.349665,6,3
40,297,Mind,Development > Individual,Individual,3,How does the mind develop throughout a person's lifetime?,6.599889,8.301213,9.906515,3.551286,1.067682,0.971823,2,1,-0.095859,0.010637,0.013189,8.876222,4.273258,-8,-9
41,297,Mind,Non-human > Animal,Animal,3,Do animals have minds like humans do?,8.5394,9.005273,11.92013,2.152931,5.037233,9.508846,18,45,4.471614,0.050185,0.129049,8.531838,4.2068276,8,35
42,297,Mind,Non-human > Artificial,Artificial,3,Can artificial intelligence have a mind?,8.32466,7.618255,11.975945,2.87893,2.244995,4.392381,10,28,2.147387,0.022366,0.059611,8.547161,4.282146,0,18
43,297,Mind,Mental health and disorder,Mental health and disorder,2,What are mental health disorders and how do they affect the mind?,8.424916,9.099092,11.414473,2.861067,2.627567,3.532308,10,15,0.904741,0.026178,0.047939,7.753208,4.6391263,0,5
44,297,Mind,Fields and methods of inquiry,Fields and methods of inquiry,2,What scientific fields study the mind?,8.487861,8.996511,9.957254,2.998597,1.290443,1.397482,5,6,0.107039,0.012856,0.018966,8.433048,4.483324,-5,-4
45,297,Mind,Fields and methods of inquiry > Psychology,Psychology,3,How does psychology study the mind?,7.950433,8.477682,11.309288,2.835505,11.825027,6.074668,54,25,-5.750359,0.117811,0.082442,8.605576,4.7065325,44,15
46,297,Mind,Fields and methods of inquiry > Neuroscience,Neuroscience,3,What does neuroscience reveal about how the mind works?,8.34543,8.854888,11.06116,3.042382,1.247524,3.49018,4,17,2.242656,0.012429,0.047367,8.229787,4.6436925,-6,7
47,297,Mind,Fields and methods of inquiry > Philosophy of mind,Philosophy of mind,3,What philosophical questions surround the mind?,7.001997,8.306191,11.153745,3.130682,0.976525,2.630997,1,9,1.654472,0.009729,0.035706,8.54085,4.328331,-9,-1
48,297,Mind,Fields and methods of inquiry > Cognitive science,Cognitive science,3,How does cognitive science approach studying the mind?,8.574866,8.763783,11.425853,2.842455,1.766559,1.444644,7,6,-0.321916,0.0176,0.019606,8.368241,4.528776,-3,-4
49,297,Mind,Relation to other fields,Relation to other fields,2,How does the study of mind connect to other academic disciplines?,8.572882,8.742495,11.701448,3.208962,2.834517,1.826185,10,8,-1.008332,0.02824,0.024784,8.485369,4.197782,0,-2
50,326,Oceania,Introduction,Introduction,0,What is Oceania?,6.041512,5.792249,6.461989,-0.050725,0.0,0.971279,0,1,0.971279,0.0,0.013182,5.4334097,0.6525177,-10,-9
51,326,Oceania,Definition > Characteristics,Characteristics,3,What are the main characteristics of Oceania?,7.438807,7.248775,12.792117,1.611607,29.334908,5.066271,136,37,-24.268637,0.292258,0.068757,5.509968,0.703843,126,27
52,326,Oceania,Definition > Boundaries,Boundaries,3,Where are the boundaries of Oceania?,1.367005,8.60803,6.297628,0.278068,1.266609,2.639279,4,16,1.37267,0.012619,0.035819,5.4737835,0.6589041,-6,6
53,326,Oceania,Definition > Boundaries > United Nations interpretation,United Nations interpretation,4,How does the United Nations define Oceania's boundaries?,6.972929,9.001858,10.104477,2.180486,1.11035,1.444364,2,3,0.334014,0.011062,0.019602,5.4737415,0.7345376,-8,-7
54,326,Oceania,Definition > Boundaries > Early interpretations,Early interpretations,4,How was Oceania originally defined and bounded?,7.002047,9.261657,10.092052,2.35382,1.87308,1.701065,6,6,-0.172015,0.018661,0.023086,5.5555153,0.67715365,-4,-4
55,326,Oceania,Definition > Boundaries > Historical and contemporary interpretations,Historical and contemporary interpretations,4,How have definitions of Oceania changed over time?,7.528883,7.466266,11.443209,3.094941,7.88846,1.838051,37,9,-6.050408,0.078591,0.024945,5.5240207,0.6611642,27,-1
56,326,Oceania,Definition > Boundaries > Boundaries between subregions,Boundaries between subregions,4,How is Oceania divided into different subregions?,8.041406,7.878705,12.630863,2.349786,1.476945,2.01565,4,8,0.538705,0.014715,0.027355,5.6158743,0.6200927,-6,-2
57,326,Oceania,History > Colonisation of Oceania > Australia,Australia,4,How was Australia colonized?,1.720907,8.464403,7.301639,-0.014253,0.215984,0.0,1,0,-0.215984,0.002152,0.0,5.9665494,0.7564268,-9,-10
58,326,Oceania,History > Colonisation of Oceania > Melanesia,Melanesia,4,What is the colonization history of Melanesia?,1.693152,7.63183,7.554739,3.434575,0.0,0.0,0,0,0.0,0.0,0.0,5.951163,0.75552404,-10,-10
59,326,Oceania,History > Colonisation of Oceania > Micronesia,Micronesia,4,Who colonized Micronesia?,1.802604,9.955419,6.324726,-0.050416,0.0,0.0,0,0,0.0,0.0,0.0,6.137196,0.758223,-10,-10
60,326,Oceania,History > Colonisation of Oceania > Polynesia,Polynesia,4,How did colonization unfold in Polynesia?,1.805985,8.773507,5.13791,1.346781,0.0,0.0,0,0,0.0,0.0,0.0,5.993576,0.7174666,-10,-10
61,326,Oceania,History > European exploration,European exploration,3,When did Europeans first explore Oceania?,0.04024,7.107287,3.656782,1.373964,0.0,0.0,0,0,0.0,0.0,0.0,5.776384,0.6520988,-10,-10
62,326,Oceania,History > European exploration > European settlement and colonisation,European settlement and colonisation,4,How did Europeans settle and colonize the Pacific region?,3.692014,9.441273,10.909274,-0.418375,0.152305,0.0,1,0,-0.152305,0.001517,0.0,5.68079,0.62396944,-9,-10
63,326,Oceania,History > Modern history,Modern history,3,What major events shaped modern Oceania?,1.916138,9.467001,6.922332,0.631292,0.147717,1.116939,1,2,0.969222,0.001472,0.015158,5.6091905,0.61971617,-9,-8
64,326,Oceania,Geography,Geography,2,What does the geography of Oceania look like?,0.471702,7.592082,5.539431,1.104423,0.0,1.138964,0,8,1.138964,0.0,0.015457,5.4621906,0.6550432,-10,-2
65,326,Oceania,Geography > Regions,Regions,3,What are the major regions of Oceania?,4.079689,9.085312,7.539338,1.079319,0.0,0.0,0,0,0.0,0.0,0.0,5.520749,0.647034,-10,-10
66,326,Oceania,Geography > Geology,Geology,3,How did the islands of Oceania form geologically?,1.261114,9.797032,11.203232,-0.965942,0.0,0.0,0,0,0.0,0.0,0.0,5.4293914,0.6099079,-10,-10
67,326,Oceania,Geography > Flora,Flora,3,What plants are native to Oceania?,-0.892687,6.621352,7.379674,0.602187,0.0,0.0,0,0,0.0,0.0,0.0,5.4411025,0.63495475,-10,-10
68,326,Oceania,Geography > Fauna,Fauna,3,What animals live in Oceania?,7.726653,6.106076,11.053861,-0.049063,1.107644,1.02105,3,2,-0.086595,0.011035,0.013857,5.633499,0.59486556,-7,-8
69,326,Oceania,Geography > Climate,Climate,3,What is the climate like across Oceania?,1.483098,10.112426,8.286962,1.517169,0.0,0.0,0,0,0.0,0.0,0.0,5.413994,0.6255226,-10,-10
70,326,Oceania,Politics > Australia,Australia,3,How does Australia's political system work?,1.627249,9.182444,6.550762,1.354717,0.0,0.0,0,0,0.0,0.0,0.0,8.309034,-2.0105305,-10,-10
71,326,Oceania,Politics > New Zealand,New Zealand,3,What type of government does New Zealand have?,1.534053,9.150416,6.37801,1.307893,0.0,0.0,0,0,0.0,0.0,0.0,8.391275,-2.0527952,-10,-10
72,326,Oceania,Politics > Pacific Islands,Pacific Islands,3,How are the Pacific Islands governed?,1.697476,8.925445,6.826799,1.668347,0.0,0.0,0,0,0.0,0.0,0.0,8.395611,-2.0416994,-10,-10
73,326,Oceania,Economy,Economy,2,What drives the economy of Oceania?,3.975804,7.227833,12.903793,3.482157,1.66059,1.403521,10,6,-0.257069,0.016544,0.019048,5.343019,0.720972,0,-4
74,326,Oceania,Economy > Australia,Australia,3,What are Australia's main industries and economic strengths?,2.042536,8.520133,3.798363,1.595826,0.958563,0.962173,1,1,0.00361,0.00955,0.013058,5.32859,0.47413725,-9,-9
75,326,Oceania,Economy > New Zealand,New Zealand,3,What is New Zealand's economy based on?,8.366712,7.090303,12.857112,2.044983,0.974797,1.340755,1,5,0.365958,0.009712,0.018196,5.3645153,0.45949212,-9,-5
76,326,Oceania,Economy > Pacific Islands,Pacific Islands,3,How do Pacific Island nations make money?,0.991242,8.360008,4.479785,2.124738,4.305345,0.967666,28,2,-3.337679,0.042893,0.013133,5.2797084,0.43943384,18,-8
77,326,Oceania,Economy > Tourism,Tourism,3,Why is tourism important to Oceania?,1.500747,9.316622,8.282627,0.488854,12.33433,1.217224,83,5,-11.117106,0.122885,0.016519,5.318548,0.49233925,73,-5
78,326,Oceania,Demographics,Demographics,2,What is the population of Oceania like?,1.566342,7.861729,5.425393,1.139928,0.0,0.0,0,0,0.0,0.0,0.0,5.348713,0.81241244,-10,-10
79,326,Oceania,Demographics > Largest city for regions,Largest city for regions,3,What are the largest cities in each region of Oceania?,2.319236,8.905607,12.749084,3.766676,0.979126,1.06004,1,2,0.080914,0.009755,0.014386,5.4300685,0.5669135,-9,-8
80,326,Oceania,Demographics > Religion,Religion,3,What religions are practiced in Oceania?,7.207644,5.919185,9.841846,-0.282959,0.966118,1.078988,1,2,0.11287,0.009625,0.014643,6.5068407,2.5397182,-9,-8
81,326,Oceania,Demographics > Languages,Languages,3,What languages are spoken throughout Oceania?,1.797037,8.61213,6.135646,0.988854,0.972761,0.973297,1,1,0.000536,0.009691,0.013209,5.678197,0.8733118,-9,-9
82,326,Oceania,Demographics > Immigration,Immigration,3,Where do immigrants to Oceania come from?,2.658957,8.820526,8.357931,0.653831,0.0,0.0,0,0,0.0,0.0,0.0,5.6543484,0.63194,-10,-10
83,326,Oceania,Demographics > Archaeogenetics,Archaeogenetics,3,What do genetic studies reveal about Oceania's peoples?,1.31574,9.939816,6.8094,-0.437048,0.0,0.0,0,0,0.0,0.0,0.0,5.9842114,0.69958293,-10,-10
84,326,Oceania,Culture > Australia,Australia,3,What is Australian culture like?,1.244627,8.465618,6.64728,-0.189212,0.0,0.0,0,0,0.0,0.0,0.0,5.7772846,0.5155569,-10,-10
85,326,Oceania,Culture > Hawaii,Hawaii,3,What makes Hawaiian culture unique?,2.465515,7.698109,9.794243,2.179413,0.0,0.0,0,0,0.0,0.0,0.0,11.33017,1.7373791,-10,-10
86,326,Oceania,Culture > New Zealand,New Zealand,3,What defines New Zealand culture?,1.902928,9.220913,10.759393,-0.148898,0.0,0.0,0,0,0.0,0.0,0.0,5.823147,0.51098365,-10,-10
87,326,Oceania,Culture > Samoa,Samoa,3,What are the traditions and customs of Samoa?,1.648751,8.971317,5.607893,0.90974,0.0,0.0,0,0,0.0,0.0,0.0,6.1732607,0.78452575,-10,-10
88,326,Oceania,Culture > Arts,Arts,3,What art forms originated in Oceania?,1.296739,8.677957,5.66325,0.672538,0.0,0.0,0,0,0.0,0.0,0.0,5.9350405,0.6775215,-10,-10
89,326,Oceania,Culture > Sport,Sport,3,What sports are popular in Oceania?,1.823251,9.519995,10.618546,3.935495,0.978362,0.960054,1,1,-0.018308,0.009747,0.013029,5.290745,0.6203346,-9,-9
90,363,Prehistory,Introduction,Introduction,0,What is prehistory?,6.683684,5.257044,11.409805,0.651205,0.0,0.0,0,0,0.0,0.0,0.0,7.936857,1.4302462,-10,-10
91,363,Prehistory,History of the term,History of the term,2,How did the term prehistory originate?,6.702218,6.847553,11.248919,1.507657,5.250895,3.371783,27,18,-1.879112,0.052314,0.04576,8.200507,1.4395014,17,8
92,363,Prehistory,Means of research,Means of research,2,How do scientists study prehistoric times?,-0.7895,6.724139,3.776266,0.742041,0.0,5.57386,0,35,5.57386,0.0,0.075645,8.189275,1.8207731,-10,25
93,363,Prehistory,Definition > Beginning and end,Beginning and end,3,When did prehistory begin and end?,-0.719664,7.500575,4.351805,0.495636,76.250853,57.97612,469,370,-18.274733,0.759673,0.78682,7.9099536,1.4812504,459,360
94,363,Prehistory,Definition > Time periods,Time periods,3,How is prehistory divided into different time periods?,-0.680947,6.865187,6.379113,0.299743,0.967726,0.959955,1,1,-0.007771,0.009641,0.013028,7.8840013,1.4154333,-9,-9
95,363,Prehistory,Stone Age,Stone Age,2,What was the Stone Age?,1.510173,8.504358,5.946628,1.250046,7.328169,2.412693,68,16,-4.915476,0.073009,0.032744,7.7721896,1.472183,58,6
96,363,Prehistory,Stone Age > Palaeolithic,Palaeolithic,3,What happened during the Palaeolithic period?,-0.920448,7.039457,4.32285,1.922536,0.0,0.0,0,0,0.0,0.0,0.0,7.1949472,1.6991261,-10,-10
97,363,Prehistory,Stone Age > Mesolithic,Mesolithic,3,What characterized the Mesolithic era?,0.945905,7.161894,8.436756,1.20909,0.0,0.0,0,0,0.0,0.0,0.0,7.333972,1.5542504,-10,-10
98,363,Prehistory,Stone Age > Neolithic,Neolithic,3,What changes occurred in the Neolithic period?,0.281666,8.560584,6.125244,0.155043,1.970587,1.528374,9,4,-0.442213,0.019633,0.020742,7.3555145,1.4953285,-1,-6
99,363,Prehistory,Chalcolithic,Chalcolithic,2,What was the Chalcolithic period?,0.477484,8.770905,7.443316,0.140676,0.973853,0.0,1,0,-0.973853,0.009702,0.0,7.5124545,1.4754373,-9,-10
100,363,Prehistory,Bronze Age,Bronze Age,2,What defines the Bronze Age?,1.102067,7.67834,5.721559,1.607612,0.0,0.0,0,0,0.0,0.0,0.0,7.8577127,1.4764117,-10,-10
101,363,Prehistory,Iron Age,Iron Age,2,What happened during the Iron Age?,1.709402,8.04915,7.343853,2.221329,1.247961,0.970834,4,1,-0.277127,0.012433,0.013176,7.8672748,1.3191895,-6,-9
102,363,Prehistory,Timeline,Timeline,2,What is the timeline of prehistoric eras?,4.480589,8.942138,10.929875,1.714056,2.015008,1.550645,15,10,-0.464363,0.020075,0.021044,8.005434,1.5751468,5,0
103,363,Prehistory,Timeline > Paleolithic,Paleolithic,3,When did the Paleolithic period occur?,6.366286,8.331894,5.99632,0.429302,1.051664,1.08046,2,3,0.028796,0.010478,0.014663,7.0139174,1.633638,-8,-7
104,363,Prehistory,Timeline > Neolithic,Neolithic,3,When did the Neolithic revolution take place?,1.714112,8.87345,6.219378,0.61735,1.311481,3.488416,4,23,2.176935,0.013066,0.047343,7.259759,1.4578135,-6,13
105,363,Prehistory,Timeline > Chalcolithic,Chalcolithic,3,When was the Chalcolithic age?,2.918657,9.110077,8.202314,1.696888,1.214335,1.243872,4,6,0.029538,0.012098,0.016881,9.388709,2.2047412,-6,-4
106,363,Prehistory,By region,By region,2,How did prehistory differ across different regions?,3.347688,8.123343,10.42918,0.579493,0.0,0.0,0,0,0.0,0.0,0.0,7.6449885,1.4351745,-10,-10
107,400,Sea,Introduction,Introduction,0,What is a sea?,0.945477,9.943097,4.18339,0.451332,0.693506,1.8678,6,13,1.174294,0.006909,0.025349,2.6524029,3.4829898,-4,3
108,400,Sea,Definition,Definition,2,How is a sea defined?,2.076355,7.962932,7.043584,1.444167,0.0,0.0,0,0,0.0,0.0,0.0,2.692182,3.5268264,-10,-10
109,400,Sea,Physical science,Physical science,2,What are the physical properties of seawater?,3.605833,9.075047,11.173962,0.826706,2.196974,1.079928,13,3,-1.117045,0.021888,0.014656,2.6643307,3.6394494,3,-7
110,400,Sea,Physical science > Seawater > Salinity,Salinity,4,Why is ocean water salty?,6.202423,7.330569,12.254709,0.426318,1.060854,5.637755,2,30,4.576901,0.010569,0.076513,2.7053602,3.6556816,-8,20
111,400,Sea,Physical science > Seawater > Temperature,Temperature,4,How does temperature vary in the ocean?,7.23506,5.053225,12.326421,0.442784,0.0,0.0,0,0,0.0,0.0,0.0,2.759196,3.8178382,-10,-10
112,400,Sea,Physical science > Seawater > pH value,pH value,4,Is seawater acidic or alkaline?,7.822474,5.410945,12.990323,0.851661,0.965398,1.128789,1,3,0.163391,0.009618,0.015319,2.479932,3.5325122,-9,-7
113,400,Sea,Physical science > Seawater > Oxygen concentration,Oxygen concentration,4,How much oxygen is dissolved in seawater?,4.320127,9.066171,6.582582,1.401518,1.131266,1.601647,3,7,0.470381,0.011271,0.021737,2.0967531,3.027237,-7,-3
114,400,Sea,Physical science > Seawater > Light,Light,4,How far does sunlight penetrate into the ocean?,2.562974,8.58074,9.395858,2.464793,2.553839,1.353943,19,6,-1.199896,0.025443,0.018375,2.0963686,3.4805255,9,-4
115,400,Sea,Physical science > Sea level,Sea level,3,Why does sea level change over time?,5.51072,8.322512,9.093236,0.713786,0.0,0.0,0,0,0.0,0.0,0.0,2.5681505,3.543054,-10,-10
116,400,Sea,Physical science > Waves,Waves,3,What causes ocean waves?,0.884552,8.425225,12.758694,1.12383,0.0,0.0,0,0,0.0,0.0,0.0,2.4280841,3.524978,-10,-10
117,400,Sea,Physical science > Tsunami,Tsunami,3,How do tsunamis form?,1.863017,10.136953,8.065124,-0.249672,0.0,0.0,0,0,0.0,0.0,0.0,2.4483905,3.4152362,-10,-10
118,400,Sea,Physical science > Currents,Currents,3,What drives ocean currents?,2.27683,8.415497,8.121154,0.800673,1.236855,2.076408,4,11,0.839553,0.012323,0.02818,2.5325,3.4875348,-6,1
119,400,Sea,Physical science > Tides,Tides,3,Why do tides happen?,6.32129,7.325942,8.181614,0.756715,0.961695,0.0,1,0,-0.961695,0.009581,0.0,1.4317187,4.617453,-9,-10
120,400,Sea,Physical science > Ocean basins,Ocean basins,3,How did ocean basins form?,2.569396,9.381591,7.025033,0.299121,1.62097,1.038545,6,2,-0.582425,0.016149,0.014095,2.6744266,3.5178516,-4,-8
121,400,Sea,Physical science > Coasts,Coasts,3,What shapes coastlines?,3.255961,9.028186,11.132618,0.939312,0.0,0.0,0,0,0.0,0.0,0.0,2.478492,3.408075,-10,-10
122,400,Sea,Physical science > Water cycle,Water cycle,3,How does water move between the ocean and atmosphere?,1.859037,9.721644,7.943188,0.970081,1.894762,2.675571,8,18,0.780808,0.018877,0.036311,2.70427,3.597937,-2,8
123,400,Sea,Physical science > Carbon cycle,Carbon cycle,3,How do oceans absorb carbon dioxide?,2.730258,8.825135,10.049244,0.134134,0.0,0.0,0,0,0.0,0.0,0.0,2.4368274,3.4446414,-10,-10
124,400,Sea,Life in the sea,Life in the sea,2,What kinds of organisms live in the sea?,2.550344,8.862422,7.118123,0.624951,0.0,0.0,0,0,0.0,0.0,0.0,2.2180514,2.829384,-10,-10
125,400,Sea,Life in the sea > Marine habitats,Marine habitats,3,What are the different types of ocean habitats?,-0.722632,7.520058,8.913593,0.260157,0.0,0.0,0,0,0.0,0.0,0.0,2.2560735,2.8806534,-10,-10
126,400,Sea,Life in the sea > Algae and plants,Algae and plants,3,What plants grow in the ocean?,1.547372,10.072306,7.035404,0.111119,0.0,2.48707,0,12,2.48707,0.0,0.033753,2.1533854,2.74697,-10,2
127,400,Sea,Life in the sea > Animals and other marine life,Animals and other marine life,3,What animals live in the ocean?,1.598198,9.752341,11.472164,0.743996,0.0,1.073265,0,2,1.073265,0.0,0.014566,2.2429855,2.6827369,-10,-8
